year,observed,original_bau2,fitted,original_bau,forecast_median,p10,p90,alternate_bau,sensitivity_low,sensitivity_high,benchmark,hybrid_2026
2073,,35.543556,,45.993181,90.948317,86.29447,116.66821,,86.29447,116.66821,,90.948317
2074,,36.271356,,45.899771,91.547762,85.422331,118.45224,,85.422331,118.45224,,91.547762
2075,,37.01558,,45.819295,92.094308,84.578245,120.27338,,84.578245,120.27338,,92.094308
2076,,37.777332,,45.751392,92.591599,83.765596,122.12919,,83.765596,122.12919,,92.591599
2077,,38.558022,,45.695662,93.043193,82.914621,124.01806,,82.914621,124.01806,,93.043193
2078,,39.358977,,45.651705,93.449614,82.128333,125.6858,,82.128333,125.6858,,93.449614
2079,,40.181337,,45.617399,93.810309,81.407319,127.11023,,81.407319,127.11023,,93.810309
2080,,41.052703,,45.588919,94.072695,80.74852,128.99693,,80.74852,128.99693,,94.072695
2081,,41.981444,,45.567224,94.260382,80.148902,131.03721,,80.148902,131.03721,,94.260382
2082,,42.938334,,45.554466,94.422346,79.601916,133.19428,,79.601916,133.19428,,94.422346
2083,,43.714556,,45.550998,91.602561,79.096854,135.37455,,79.096854,135.37455,,91.602561
2084,,44.294683,,45.557997,87.738019,78.625585,137.46954,,78.625585,137.46954,,87.738019
2085,,44.76951,,45.574918,83.943599,78.171872,139.50088,,78.171872,139.50088,,83.943599
2086,,45.283334,,45.601784,80.453273,77.478845,141.50288,,77.478845,141.50288,,80.453273
2087,,45.80604,,45.637854,77.208699,76.572232,143.51841,,76.572232,143.51841,,77.208699
2088,,46.043371,,45.681332,74.202321,72.072715,145.54566,,72.072715,145.54566,,74.202321
2089,,46.135454,,45.732516,71.468606,68.160494,147.56405,,68.160494,147.56405,,71.468606
2090,,46.187907,,45.791463,68.937697,64.815464,149.57578,,64.815464,149.57578,,68.937697
2091,,46.206092,,45.858109,66.479489,61.880397,151.5982,,61.880397,151.5982,,66.479489
2092,,46.202892,,45.932323,64.165484,59.309581,153.63406,,59.309581,153.63406,,64.165484
2093,,46.189606,,46.013936,61.984664,56.947147,155.6876,,56.947147,155.6876,,61.984664
2094,,46.171787,,46.102748,59.915696,54.628968,157.82594,,54.628968,157.82594,,59.915696
2095,,46.155104,,46.198542,57.956585,52.373271,160.08866,,52.373271,160.08866,,57.956585
2096,,45.84261,,46.300935,56.104333,50.225273,162.50779,,50.225273,162.50779,,56.104333
2097,,45.419507,,46.409472,54.35506,48.181973,165.13241,,48.181973,165.13241,,54.35506
2098,,44.991489,,46.522387,52.70336,46.240989,168.04299,,46.240989,168.04299,,52.70336
2099,,44.551526,,46.632197,51.143186,44.397792,171.05441,,44.397792,171.05441,,51.143186
2100,,44.11054,,46.743029,50.140279,46.711809,179.6922,,46.711809,179.6922,,50.140279
