CountryCode,Country,Title,Note
764,Thailand,Source,Production Index (Value added Weight)
768,Togo,Data Supplier,Institut National de la Statistique et des Etudes Economiques et Demographiques Togo
768,Togo,Source,Indice de la production industrielle (IPI) renove 2015
776,Tonga,Data Supplier,Tonga Statistics Department
776,Tonga,Note,Shifted fiscal year.
776,Tonga,Source,Gross Domestic Product (GDP) at constant prices
780,Trinidad and Tobago,Data Supplier,CSO Central Statistical Office
780,Trinidad and Tobago,Source,Index of Domestic Production DPI
784,United Arab Emirates,Data Supplier,UAE Stat
784,United Arab Emirates,Source,GDP Quarterly - Constant Prices (Constant Prices 2010)
788,Tunisia,Data Supplier,Statistiques Tunisie
788,Tunisia,Source,Industrial Production Index
792,Türkiye,Data Supplier,Turkish Statistical Institute (TURKSTAT)
792,Türkiye,Note,Data obtained via Eurostat.
792,Türkiye,Source,Index of industrial production
796,Turks and Caicos Islands,Data Supplier,Statistics Authority Turks & Caicos Islands
796,Turks and Caicos Islands,Source,Gross Domestic Product by economic activity
800,Uganda,Data Supplier,Uganda Bureau of Statistics
800,Uganda,Note,Index calculated with VA
800,Uganda,Source,Value added by activity at constant 2016/17 prices
804,Ukraine,Data Supplier,National Bank of Ukraine
804,Ukraine,Note,Index calculated out of percentages to the corresponding month of the previous year
804,Ukraine,Source,Economic activity Industrial Products Indices
807,North Macedonia,Data Supplier,State Statistical Office of the Republic of Macedonia
807,North Macedonia,Note,Data obtained via Eurostat.
807,North Macedonia,Source,Index of industrial production
818,Egypt,Data Supplier,Central Agency for Public Mobilization and Statistics or Ministry of Planning
818,Egypt,Source,Index of Manufacturing and Extractive
826,United Kingdom,Data Supplier,Office for National Statistics ONS
826,United Kingdom,Source,Index of Production time series
834,United Republic of Tanzania,Data Supplier,Tanzania National Bureau of Statistics
834,United Republic of Tanzania,Note,Index calculated with GDP
834,United Republic of Tanzania,Source,Gross Domestic Product by Economic Activity at 2015 prices - TZS Million
840,United States of America,Data Supplier,Federal Reserve System
840,United States of America,Source,Industrial Production and Capacity Utilization - G.17
854,Burkina Faso,Data Supplier,Institut Nacional de la Statistique et de la Demographie
854,Burkina Faso,Source,Indice de la production industrielle
858,Uruguay,Data Supplier,National Institute of Statistics Uruguay
858,Uruguay,Source,Indice de Volumen Fisico de la Industria Manufacturera 2018
860,Uzbekistan,Data Supplier,The state committee of the Republic of Uzbekistan on Statistics
860,Uzbekistan,Source,Volume of industrial production by type of economic activity
882,Samoa,Data Supplier,Samoa Bureau of Statistics
882,Samoa,Source,GDP constant prices
894,Zambia,Data Supplier,Zambia Statistics Agency
894,Zambia,Source,Index of Industrial Production
